raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
idss_slender,NA,Slender women are more attractive.,raw,0,"Strongly Disagree=1, Disagree=2, Neutral=3, Agree=4, Strongly Agree=5",NA,NA,NA,NA,NA
idss_in_shape,NA,Women who are in shape are more attractive.,raw,0,"Strongly Disagree=1, Disagree=2, Neutral=3, Agree=4, Strongly Agree=5",NA,NA,NA,NA,NA
idss_tall,NA,Tall women are more attractive.,raw,0,"Strongly Disagree=1, Disagree=2, Neutral=3, Agree=4, Strongly Agree=5",NA,NA,NA,NA,NA
idss_lean,NA,Women with toned (lean) bodies are more attractive.,raw,0,"Strongly Disagree=1, Disagree=2, Neutral=3, Agree=4, Strongly Agree=5",NA,NA,NA,NA,NA
idss_shapely,NA,Shapely women are more attractive.,raw,0,"Strongly Disagree=1, Disagree=2, Neutral=3, Agree=4, Strongly Agree=5",NA,NA,NA,NA,NA
idss_long_legs,NA,Women with long legs are more attractive.,raw,0,"Strongly Disagree=1, Disagree=2, Neutral=3, Agree=4, Strongly Agree=5",NA,NA,NA,NA,NA
ideal_body_stereotype_scale_revised_complete,NA,Complete?,raw,0,"incomplete = 0, complete = 2",NA,NA,NA,NA,NA
"idss_slender, idss_in_shape, idss_tall, idss_lean, idss_shapely, idss_long_legs, ideal_body_stereotype_scale_revised_complete",NA,NA,select,1,NA,NA,NA,NA,NA,NA
idss_slender,idss_1_slender,Slender women are more attractive.,recode,2,"Strongly Disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
idss_in_shape,idss_2_in_shape,Women who are in shape are more attractive.,recode,2,"Strongly Disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
idss_tall,idss_3_tall,Tall women are more attractive.,recode,2,"Strongly Disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
idss_lean,idss_4_lean,Women with toned (lean) bodies are more attractive.,recode,2,"Strongly Disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
idss_shapely,idss_5_shapely,Shapely women are more attractive.,recode,2,"Strongly Disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
idss_long_legs,idss_6_long_legs,Women with long legs are more attractive.,recode,2,"Strongly Disagree=0, Disagree=1, Neutral=2, Agree=3, Strongly Agree=4","1=0, 2=1, 3=2, 4=3, 5=4",NA,NA,NA,NA
ideal_body_stereotype_scale_revised_complete,NA,Complete?,recode,2,NA,NA,NA,NA,NA,NA
"idss_1_slender, idss_2_in_shape, idss_3_tall, idss_4_lean, idss_5_shapely, idss_6_long_legs, ideal_body_stereotype_scale_revised_complete",idss_mean,averaged ideal body stereotyle scale,mean,3,NA,NA,NA,NA,NA,NA
"idss_1_slender, idss_2_in_shape, idss_3_tall, idss_4_lean, idss_5_shapely, idss_6_long_legs, ideal_body_stereotype_scale_revised_complete",NA,,select,4,NA,NA,NA,NA,NA,NA
